Date,call_volume,call_percentage,put_volume,put_percentage
2022-08-04,1893592,0.57,1401144,0.43
2022-08-05,1339990,0.58,978214,0.42
2022-08-08,901492,0.54,761950,0.46
2022-08-09,605572,0.52,558114,0.48
2022-08-10,843904,0.52,763680,0.48
2022-08-11,916892,0.55,758600,0.45
2022-08-12,1049292,0.58,764856,0.42
2022-08-15,618118,0.54,522714,0.46
2022-08-16,1240164,0.63,732666,0.37
2022-08-17,893734,0.56,688956,0.44
2022-08-18,774656,0.6,506630,0.4
2022-08-19,927406,0.57,706902,0.43
2022-08-22,1022084,0.59,711142,0.41
2022-08-23,540470,0.48,574042,0.52
2022-08-24,561342,0.48,601236,0.52
2022-08-25,749224,0.6,494182,0.4
2022-08-26,1095780,0.54,932344,0.46
2022-08-29,642286,0.48,690970,0.52
2022-08-30,726634,0.52,680008,0.48
2022-08-31,651146,0.44,815002,0.56
2022-09-01,1058878,0.53,937086,0.47
2022-09-02,1080218,0.56,849708,0.44
2022-09-06,679076,0.57,507136,0.43
2022-09-07,654024,0.44,849440,0.56
2022-09-08,645464,0.54,542056,0.46
2022-09-09,966396,0.59,672942,0.41
2022-09-12,732834,0.56,571996,0.44
2022-09-13,800764,0.53,712684,0.47
2022-09-14,534822,0.39,835400,0.61
2022-09-15,877516,0.57,672856,0.43
2022-09-16,1246848,0.51,1217528,0.49
2022-09-19,531536,0.52,482190,0.48
2022-09-20,539040,0.57,402318,0.43
2022-09-21,700606,0.48,746210,0.52
2022-09-22,872586,0.5,862782,0.5
2022-09-23,1075408,0.53,958920,0.47
2022-09-26,717348,0.56,568388,0.44
2022-09-27,682460,0.58,489968,0.42
2022-09-28,667322,0.48,720398,0.52
2022-09-29,693218,0.48,743200,0.52
2022-09-30,736132,0.49,769196,0.51
2022-10-03,678162,0.55,552856,0.45
2022-10-04,875464,0.59,620072,0.41
2022-10-05,629110,0.49,642168,0.51
2022-10-06,502462,0.5,506526,0.5
2022-10-07,902378,0.55,746198,0.45
2022-10-10,497518,0.55,406822,0.45
2022-10-11,600096,0.51,588170,0.49
2022-10-12,510242,0.43,681092,0.57
2022-10-13,1208412,0.54,1012566,0.46
2022-10-14,1086092,0.56,857054,0.44
2022-10-17,864326,0.56,670534,0.44
2022-10-18,818772,0.6,544868,0.4
2022-10-19,567268,0.41,803878,0.59
2022-10-20,722246,0.51,692466,0.49
2022-10-21,901644,0.56,698310,0.44
2022-10-24,491194,0.59,344488,0.41
2022-10-25,541628,0.6,355850,0.4
2022-10-26,746960,0.53,654350,0.47
2022-10-27,1744930,0.51,1673818,0.49
2022-10-28,3308910,0.44,4233524,0.56
2022-10-31,1495724,0.63,880454,0.37
2022-11-01,1964274,0.61,1264714,0.39
2022-11-02,1902298,0.32,3972672,0.68
2022-11-03,2102418,0.49,2214890,0.51
2022-11-04,2197928,0.53,1988592,0.47
2022-11-07,1383966,0.71,572846,0.29
2022-11-08,1375580,0.33,2814878,0.67
2022-11-09,1498794,0.52,1379080,0.48
2022-11-10,3681880,0.69,1643006,0.31
2022-11-11,2767808,0.69,1224674,0.31
2022-11-14,1397774,0.68,658870,0.32
2022-11-15,2038400,0.69,914392,0.31
2022-11-16,1219344,0.4,1806418,0.6
2022-11-17,1323746,0.62,795158,0.38
2022-11-18,1641152,0.65,880206,0.35
2022-11-21,1286816,0.65,690960,0.35
2022-11-22,1201540,0.37,2022980,0.63
2022-11-23,1059088,0.46,1244646,0.54
2022-11-25,810000,0.66,408684,0.34
2022-11-28,1030728,0.68,476566,0.32
2022-11-29,892440,0.6,585666,0.4
2022-11-30,1367352,0.44,1751976,0.56
2022-12-01,1018608,0.54,873122,0.46
2022-12-02,1213172,0.58,868790,0.42
2022-12-05,1085572,0.62,670332,0.38
2022-12-06,1111058,0.6,740728,0.4
2022-12-07,981492,0.29,2452386,0.71
2022-12-08,1172040,0.45,1442712,0.55
2022-12-09,1038438,0.46,1209060,0.54
2022-12-12,881906,0.69,395376,0.31
2022-12-13,1370620,0.62,825028,0.38
2022-12-14,992086,0.36,1777342,0.64
2022-12-15,1347868,0.64,745950,0.36
2022-12-16,1107712,0.35,2016082,0.65
2022-12-19,1134222,0.6,758486,0.4
2022-12-20,971800,0.67,487784,0.33
2022-12-21,701304,0.2,2839630,0.8
2022-12-22,1095278,0.47,1258108,0.53
2022-12-23,910918,0.57,688658,0.43
2022-12-27,699720,0.65,372652,0.35
2022-12-28,807278,0.18,3654354,0.82
2022-12-29,897512,0.44,1145774,0.56
2022-12-30,791256,0.53,689702,0.47
2023-01-03,866806,0.52,787452,0.48
2023-01-04,832960,0.28,2153734,0.72
2023-01-05,722374,0.44,902664,0.56
2023-01-06,1340728,0.44,1698328,0.56
2023-01-09,870634,0.49,912146,0.51
2023-01-10,787846,0.52,728608,0.48
2023-01-11,1967258,0.45,2366080,0.55
2023-01-12,1297226,0.47,1457230,0.53
2023-01-13,1781820,0.56,1371852,0.44
2023-01-17,891258,0.49,919362,0.51
2023-01-18,1235364,0.34,2444158,0.66
2023-01-19,904910,0.55,734162,0.45
2023-01-20,1154516,0.58,831770,0.42
2023-01-23,995160,0.63,579394,0.37
2023-01-24,890486,0.65,488596,0.35
2023-01-25,1463568,0.51,1430256,0.49
2023-01-26,1386400,0.7,585110,0.3
2023-01-27,2435506,0.74,849974,0.26
2023-01-30,845494,0.57,626532,0.43
2023-01-31,861338,0.71,358226,0.29
2023-02-01,1147782,0.7,486288,0.3
2023-02-02,3676662,0.7,1592948,0.3
2023-02-03,3184696,0.63,1849620,0.37
2023-02-06,1153796,0.61,751628,0.39
2023-02-07,1590346,0.61,1013662,0.39
2023-02-08,1103978,0.58,810126,0.42
2023-02-09,960164,0.61,603546,0.39
2023-02-10,934424,0.59,660036,0.41
2023-02-13,689862,0.68,328640,0.32
2023-02-14,851702,0.65,456220,0.35
2023-02-15,716760,0.47,823200,0.53
2023-02-16,915488,0.64,523702,0.36
2023-02-17,969142,0.58,696774,0.42
2023-02-21,758394,0.61,483420,0.39
2023-02-22,763186,0.48,832032,0.52
2023-02-23,749120,0.56,578178,0.44
2023-02-24,860274,0.54,739146,0.46
2023-02-27,562760,0.58,410180,0.42
2023-02-28,433396,0.58,308986,0.42
2023-03-01,878880,0.41,1261918,0.59
2023-03-02,815580,0.63,484294,0.37
2023-03-03,985122,0.59,671822,0.41
2023-03-06,733776,0.67,366912,0.33
2023-03-07,571854,0.54,481114,0.46
2023-03-08,532292,0.35,1004984,0.65
2023-03-09,734736,0.52,666898,0.48
2023-03-10,951478,0.52,888320,0.48
2023-03-13,837632,0.57,633392,0.43
2023-03-14,666648,0.59,455986,0.41
2023-03-15,887768,0.46,1022594,0.54
2023-03-16,1586754,0.65,838236,0.35
2023-03-17,1029120,0.62,631512,0.38
2023-03-20,765576,0.69,351894,0.31
2023-03-21,839316,0.69,381662,0.31
2023-03-22,843572,0.57,627174,0.43
2023-03-23,775918,0.53,682726,0.47
2023-03-24,805358,0.56,624956,0.44
2023-03-27,646098,0.67,324952,0.33
2023-03-28,594230,0.67,292786,0.33
2023-03-29,742826,0.52,694504,0.48
2023-03-30,1068192,0.69,489610,0.31
2023-03-31,1131454,0.68,525164,0.32
2023-04-03,663356,0.61,420780,0.39
2023-04-04,861066,0.54,722796,0.46
2023-04-05,845916,0.66,431470,0.34
2023-04-06,776628,0.57,591472,0.43
2023-04-10,650240,0.65,353788,0.35
2023-04-11,762586,0.67,384016,0.33
2023-04-12,892816,0.51,867398,0.49
