Security_Symbol,             ,Security_Type,Current_Pos_Limit,Current_NearTerm_Limit
A     ,               ,Equity,25000000  ,0         
AA    ,               ,Equity,25000000  ,0         
AAC   ,               ,Equity,7500000   ,0         
AADI  ,               ,Equity,2500000   ,0         
AAIC  ,               ,Equity,5000000   ,0         
AAL   ,               ,Equity,25000000  ,0         
AAN   ,               ,Equity,7500000   ,0         
AAOI  ,               ,Equity,25000000  ,0         
AAON  ,               ,Equity,5000000   ,0         
AAP   ,               ,Equity,25000000  ,0         
AAPB  ,               ,Equity,2500000   ,0         
AAPD  ,               ,Equity,5000000   ,0         
AAPL  ,               ,Equity,25000000  ,0         
AAPU  ,               ,Equity,2500000   ,0         
AAT   ,               ,Equity,7500000   ,0         
AAU   ,               ,Equity,7500000   ,0         
AAXJ  ,               ,Equity,25000000  ,0         
AB    ,               ,Equity,7500000   ,0         
ABBNY ,               ,Equity,25000000  ,0         
ABBV  ,               ,Equity,25000000  ,0         
ABC   ,               ,Equity,25000000  ,0         
ABCB  ,               ,Equity,7500000   ,0         
ABCL  ,               ,Equity,25000000  ,0         
ABCM  ,               ,Equity,25000000  ,0         
ABEO  ,               ,Equity,5000000   ,0         
ABEV  ,               ,Equity,25000000  ,0         
ABG   ,               ,Equity,5000000   ,0         
ABIO  ,               ,Equity,2500000   ,0         
ABM   ,               ,Equity,7500000   ,0         
ABNB  ,               ,Equity,25000000  ,0         
ABOS  ,               ,Equity,20000000  ,0         
ABR   ,               ,Equity,25000000  ,0         
ABSI  ,               ,Equity,25000000  ,0         
ABST  ,               ,Equity,20000000  ,0         
ABT   ,               ,Equity,25000000  ,0         
ABUS  ,               ,Equity,25000000  ,0         
ACA   ,               ,Equity,5000000   ,0         
ACAD  ,               ,Equity,25000000  ,0         
ACB   ,               ,Equity,25000000  ,0         
ACCD  ,               ,Equity,25000000  ,0         
ACCO  ,               ,Equity,20000000  ,0         
ACDC  ,               ,Equity,20000000  ,0         
ACEL  ,               ,Equity,5000000   ,0         
ACER  ,               ,Equity,7500000   ,0         
ACES  ,               ,Equity,2500000   ,0         
ACET  ,               ,Equity,7500000   ,0         
ACGL  ,               ,Equity,25000000  ,0         
ACGN  ,               ,Equity,20000000  ,0         
ACHC  ,               ,Equity,7500000   ,0         
ACHR  ,               ,Equity,25000000  ,0         
ACHV  ,               ,Equity,2500000   ,0         
ACI   ,               ,Equity,25000000  ,0         
ACIU  ,               ,Equity,7500000   ,0         
ACIW  ,               ,Equity,25000000  ,0         
ACLS  ,               ,Equity,7500000   ,0         
ACLX  ,               ,Equity,7500000   ,0         
ACM   ,               ,Equity,25000000  ,0         
ACMR  ,               ,Equity,25000000  ,0         
ACN   ,               ,Equity,25000000  ,0         
ACNB  ,               ,Equity,2500000   ,0         
ACNT  ,               ,Equity,2500000   ,0         
ACOR  ,               ,Equity,25000000  ,0         
ACR   ,               ,Equity,2500000   ,0         
ACRE  ,               ,Equity,20000000  ,0         
ACRS  ,               ,Equity,25000000  ,0         
ACRX  ,               ,Equity,25000000  ,0         
ACT   ,               ,Equity,5000000   ,0         
ACTG  ,               ,Equity,7500000   ,0         
ACVA  ,               ,Equity,25000000  ,0         
ACWI  ,               ,Equity,25000000  ,0         
ACWV  ,               ,Equity,5000000   ,0         
ACWX  ,               ,Equity,25000000  ,0         
ACXP  ,               ,Equity,2500000   ,0         
ADAP  ,               ,Equity,36325000  ,0         
ADBE  ,               ,Equity,25000000  ,0         
ADC   ,               ,Equity,25000000  ,0         
ADCT  ,               ,Equity,7500000   ,0         
ADEA  ,               ,Equity,7500000   ,0         
ADES  ,               ,Equity,2500000   ,0         
ADI   ,               ,Equity,25000000  ,0         
ADIL  ,               ,Equity,25000000  ,0         
ADM   ,               ,Equity,25000000  ,0         
ADMA  ,               ,Equity,25000000  ,0         
ADMP  ,               ,Equity,25000000  ,0         
